Accord Pilot Logistics (Thailand),naratip@pilot.co.th
Acho Interfreight Co Ltd,csv@acho.co.th
"Act 247 Co., Ltd.",cs@myact247.com
Acutech Co Ltd,rakshit@acutech.co.th
Addicon Logistics (Thailand) Co Ltd,marketing@addicon.co.th
"Advance Marine Logistics Co., Ltd.",csexim@amlthailand.com
AerOceaNetwork (AON),"info@aonrelocations.net,coordinator@perishablelogisticsspecialists.net"
Air India,"smicbkk@ksc.th.com,aitktrsvn@gmail.com"
"Air Sea Business Co., Ltd",suthiwadee@airseabiz.co.th
Airports of Thailand Public Company Limited (AOT),aotpr@airportthai.co.th
AL Link Line Co Ltd,allink@allink.co.th
A-Sonic Logistics (Thailand) Co Ltd,enquiry@asonic-logisticsolutions.com
Atlas Express Logistics Co Ltd,wannipha@atlasexpresslog.com
Avigo Express Co Ltd,cs@avigo.co.th
Better Freight & Transport Co Ltd,yingtip@better-freight.co.th
Blue Whale Line Co Ltd,suvit@bluewhaleline.com
Bringer Air Cargo,"paula@bringercargo.com.br,bringer@bringercargo.com.br"
Care Freight Thailand Co Ltd,"fazal@care-freight.com,tima@care-freight.com"
Centalog Co Ltd,yao@centalog.com
Chiang Mai International Airport,usa@airportthai.co.th
Cityairways,benjarongc@cityairways.net
Cubana,informacion.cliente@cubana.avianet.cu
Dawn Shipping (Thailand) Co Ltd,robin@dawnsg.com
DWT Worldwide (Thailand) Co Ltd.,jeab.t@dextransgroup.com
"Elephas Import Export Co., Ltd.",p@elephasworld.com
Elite Transportation Services,"waralee@elitethai.com,siriporn@elitethai.com"
Enterprise Transport International Co Ltd,sales@enterprise.co.th
Excel Transport International Co Ltd,partner@exctrans.co.th 
Fastable Logistics Co Ltd,center@fastable-logistics.com
Feta Freight Systems (Thailand) Co Ltd,ffsibkk@feta.co.th
"Freight Rangers Co.,Ltd.",pintoo@rangers.co.th
GGS Lines (Thailand) Co Ltd,kate@ggslines.com
Gulf Air,"khaled.arahman@gulfair.com,atharat.sangpetch@gulfair.com"
Handle Inter Freight Logistics Co Ltd,aramsri@handleinterfreight.com
Harpers Freight International Air Cargo Co Ltd,info@harpersfreight.com
Hewanorra Air Cargo Services,"rhonc@candw.lc,hacs@candw.lc"
Ican Transport International Co Ltd,paiboon.chanyasak@icantransport.com
Indochina Aviation Services Co Ltd,bhubest@itlavs.com
Inspired Logistics Company Limited (sub of Globespan Logistics (S)),csdesk@inspired.co.th
Janel International (Thailand) Co Ltd,jtops@janel.co.th
Japan Airlines,webmastercargo@jal.com
JSI Logistics (Thailand) Ltd,agents@jsilogistics.com
Khon Kaen Airport,khonkaen@aviation.go.th
Kingston (Norman Rogers) Airport,"info@kingstoncanada.com,dwarren@cityofkingston.ca"
KLM Cargo,charnvit.nantachantoon@klmcargo.com
Kyoei Global Logistic (Thailand) Co Ltd,wasant@kyoeigloballogistic.com
Laparkan (Cayman Islands),wcafamily@laparkan.com
Leo Global Logistics Co Ltd,lynla@leogloballogistics.com
Logistics Management Services Ltd,anantt@logistics-man.com
Lognet Global,info@lognetglobal.com
LPL (Thailand) Co Ltd,marc.dewaele@lplogistics.com
Lufthansa Cargo,"julian.dewan@dlh.de,lhcargo.bkk@dlh.de"
LWS import export,contact@shipmentbangkok.com
M Inter-Corp Logistics Co Ltd,info@mintercorp.co.th
Maritime Synergy (Thailand) Co Ltd,project@maritimesynergy.com
Metropolitan Logistics Co Ltd,fhakumnod@met-logs.com
Navigator Logistics and Transport Co Ltd,kantanat@nvglog.com
Navy Pro Co Ltd,info@navyprothailand.com
Nimble Logistics Co Ltd,info@nimble-logistics.com
Orient Thai Airlines,reservationcenter@orient-thai.com
Pacific Star Alliance Co Ltd,somchai@pacificstar.co.th
Pearl Logistics Co Ltd,somsuk@pearl-logistics.com
Phoenix International Freight Services,Bobo.Yang@chrobinson.com
Pilot Logistics Co Ltd,worathip@pilotlogistics.net
Pinnacle Logistics (Thailand) Co Ltd,commercial@pinnacle-logistics.com
Pioneer Air Cargo Co Ltd,pac@pioneer.co.th
PL Freight Express Co Ltd,randy@plbkk28.com 
Pornvatana Transport Co Ltd,thisana.w@pornvatana-transport.com
Porter Airlines,customer.service@flyporter.com
PT Air Cargo Co Ltd,kawin@ptcargo.com
Qantas Freight,bangkokfreight@qantas.com.au
Qatar Airways Cargo,"bkkqrcgores@th.qatarairways.com,bkkqrcgoops@th.qatarairways.com"
Rayong - U-Tapao International Airport,webmaster@utapao.com
RCL Logistics Co Ltd,rclbkk@rclgroup.com
Rojana Distribution Center Co Ltd,"sale_air@rdc.co.th,hayashi@rdc.co.th"
"Rotterdam Overseas Network (thailand) Co., Ltd.",g.carilloperez@rotterdamoverseas.net
RTN International Logistics Co Ltd,suwanan@rtnthailand.com
RTN Logistics Co Ltd,"sales@rtnlogistics.com,kamolrat@rtnlogistics.com"
S P (1990) Group Inter Co Ltd,overseas@spgint.com
S S L Logistics Co Ltd,"info@ssllogistics.co.th,jesada@ssllogistics.co.th"
Sea Fly Services Company Ltd,info@seafly-services.com
SINO Connections Logistics (Thailand) Co Ltd,"arachaporn.l@sinoconnections.com,kavin.k@sinoconnections.com"
Skyplan,sales@skyplan.com
"SmartFreight Inter Logistics Co., Ltd.","artiwat.sales@smartfreight.co.th, pitchaya.csd@smartfreight.co.th"
Speed Cargo Co Ltd,speed_cargo@hotmail.com
SriLankan Airlines,bkkcgomgr@srilankan.com
"SV Forwarding and Transport Co.,Ltd",sittikorn.thapthiang@hotmail.com
T V L Global Logistics (Thailand) Co Ltd,"piya@tvlthailand.co.th,wassana@tvlthailand.co.th"
Target Logistics (Thailand) Company Limited,sales3@targetlogisticsthailand.com
"Tasco International Logistics Co., Ltd.","info@tascologistics.com, sales1@tascologistics.com"
Thai Hanjin Logistics Co Ltd,bkk_air@hanjinlogistics.com
The Freight Co Ltd,salesmgr@the-freight.com
"Together Freight International Co.,Ltd.",operation@togetherfreight.co.th
Touch Sky Co Ltd,ekkalak@touch-sky.com
Trans Air Cargo Co Ltd,"keree@transaircargo.com,kantorn@transaircargo.com"
Trans-Maker Co Ltd,tmklog@trans-maker.com
Transpeed Co. Ltd,transpeed@transpeed.biz
Transpole Logistics Pvt Ltd,info.th@transpolegroup.net
Transport Services and Logistics (Thailand) Co Ltd,cw@tslbkk.com
